Country,Precipitation,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal),Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,CoastlineLength,Date
IRN,228,6717617668,59.81,39.79,?,554.48,16.82,685.53,4.50E+11,97.5,?,2149673532,-4.7,-2.5,5.65,46.93,?,?,?,5.5,1.7,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46,2.440,2014
DJI,220,15636437.01,0,?,?,?,?,52.06,896251117.5,14.43,?,4336260.21,3.9,4.75,1.01,?,?,?,?,12.8,22.5,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0,104.13,1300,67.9,22.8,0.04,0,99.96,1,39.53,19.31,0.179,0.225,0.596,314,2014
IRQ,216,1362014995,55,7.24,0.04,134.71,?,103.07,67008540181,6.77,?,195657110.4,1.2,0.8,5.29,?,?,?,?,27.8,12.1,NEAR EAST                          ,26783383,437072,61.3,0.01,0,50.25,1500,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261,58,2014
TUN,207,626765530.6,94,20.01,0.63,26.54,18.49,674.13,99249108536,46.16,?,135066554.8,0.6,-0.05,14.27,?,28.42,?,?,5,5.3,NORTHERN AFRICA                    ,10175014,163610,62.2,0.70,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55,1.148,2014
UZB,206,1589923233,32,?,0.21,97.35,?,341.85,26579405157,47.41,?,375231426.6,5.8,6.21,4.07,31.19,?,?,?,6.3,62.1,C.W. OF IND. STATES ,27307134,447400,61.0,0.00,-1.72,71.1,1700,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43,0,2014
YEM,167,361380310.3,80,2.06,?,12,?,68.46,8389990053,7.87,?,61377843.17,-31.8,-30.97,1.65,?,?,?,37.8,28.8,21.1,NEAR EAST                          ,21456188,527970,40.6,0.36,0,61.5,800,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393,1.906,2014
TKM,161,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,C.W. OF IND. STATES ,5042920,488100,10.3,0.00,-0.86,73.08,5800,98.0,74.6,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411,0,2014
NER,151,411323114.5,10,22.7,?,2.56,?,27.76,5681740002,3.07,?,121509322.9,-0.3,0.05,1.25,?,?,?,?,11.3,74.9,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0.00,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44,0,2014
OMN,125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.5,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583,2.092,2014
KWT,121,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,2418393,17820,135.7,2.80,14.18,9.95,19000,83.5,211.0,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516,499,2014
JOR,111,402360957.5,99,27.37,?,24.46,?,542.5,8168334045,39.68,?,118960261.9,-0.5,-1.52,4.04,?,53.7,?,38.1,4.2,2.3,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68,26,2014
MRT,92,174250271.2,30,?,?,?,?,113.47,3685879306,16.2,?,21001987.31,-1.9,0.18,1.2,?,?,14.8,?,5.3,20.1,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,754,2014
DZA,89,2090186078,46,9.14,?,131.48,?,207.81,2.68E+11,13.47,21.2,235303972.1,3.1,1.73,14.61,?,21.03,?,?,4.6,0.5,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04,-0.39,31,6000,70.0,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298,998,2014
BHR,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,161,2014
ARE,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375,1.318,2014
QAT,74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,885359,11437,77.4,4.92,16.29,18.61,21500,82.5,232.0,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197,563,2014
SAU,59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800,78.8,140.6,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354,2.640,2014
LBY,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NORTHERN AFRICA                    ,5900754,1759540,3.4,0.10,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425,1.770,2014
EGY,51,4230554270,97.8,14.2,0.72,199.52,11.22,421.07,6.59E+11,17.98,27.6,879614802.9,4,4.08,13.55,?,?,?,?,4.5,16.8,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493,2.450,2014
SSD,?,59288540.66,20,?,?,1.12,?,?,?,2.4,?,175095712.5,-9.6,1.95,0.49,18.89,?,?,250.2,?,42.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2014
FSM,?,1423117.89,?,?,?,?,?,?,63763072.45,29.05,?,?,?,4.51,0.19,76.42,?,?,?,?,16,OCEANIA                            ,108004,702,153.9,870.66,-20.99,30.21,2000,89.0,114.8,5.71,45.71,48.58,2,24.68,4.75,0.289,0.152,0.559,6.112,2014
VUT,?,9564649.5,51,?,?,?,?,100.28,337870765.7,61.33,?,4117704.84,-3.6,-0.6,3.2,?,?,?,?,6.9,13.2,OCEANIA                            ,208869,12200,17.1,20.72,0,55.16,2900,53.0,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62,2.528,2014
KIR,?,3989076.6,63,?,?,?,?,82.27,40972239.05,?,?,?,?,5.68,3.02,?,?,?,?,3.3,12.9,OCEANIA                            ,105432,811,130.0,140.94,0,48.52,800,,42.7,2.74,50.68,46.58,2,30.65,8.26,0.089,0.242,0.668,1.143,2014
TUV,?,68458.67,?,?,?,?,?,36.87,9340151.42,?,?,?,?,8.22,1.7,96.28,?,?,?,?,3.3,OCEANIA                            ,11810,26,454.2,92.31,0,20.03,1100,,59.3,0,0,100,2,22.18,7.11,0.166,0.272,0.562,24,2014
TON,?,9706293.39,70,1.61,?,?,?,250.39,237870154.7,57.94,?,?,3.2,3.14,3.25,?,?,?,?,?,2.8,OCEANIA                            ,114689,748,153.3,56.02,0,12.62,2200,98.5,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5,419,2014
SRB,?,589172946.4,97.29,23.91,0.87,45.63,16.14,718.61,32937014934,75.51,20.1,?,0.2,1.27,5.12,96.27,?,?,3.9,5.6,2.5,EASTERN EUROPE                     ,9396411,88361,106.3,0.00,-1.33,12.89,2200,93.0,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579,0,2014
PSE,?,?,0,2.2,?,?,12.26,276.32,?,33.31,31.6,?,-3.8,0.65,5.88,64.68,?,?,28.5,?,1.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MNE,?,30012119.27,97.2,16.06,0.37,3.11,6.68,326.86,3187660131,119.06,16.5,26227969.54,2.9,3.31,0.69,65.81,58.12,?,5.4,?,1.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,293.5,2014
WSM,?,5950070.16,86,?,?,?,?,351.87,300462778.4,62.5,?,3139448.36,1,2.16,5.95,30.46,?,?,?,3.2,0.6,OCEANIA                            ,176908,2944,60.1,13.69,-11.7,27.71,5600,99.7,75.2,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302,403,2014
ASM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,57794,199,290.4,58.29,-20.71,9.27,8000,97.0,259.5,10,15,75,2,22.46,3.27,,,,116,2014
AND,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,71201,468,152.1,0.00,6.6,4.05,19000,100.0,497.2,2.22,0,97.78,3,8.71,6.25,,,,0,2014
AIA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,13477,102,132.1,59.80,10.76,21.03,8600,95.0,460.0,0,0,100,2,14.17,5.34,0.04,0.18,0.78,61,2014
ABW,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,71891,193,372.5,35.49,0,5.89,28000,97.0,516.1,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663,68.5,2014
BMU,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NORTHERN AMERICA                   ,65773,53,1241.0,194.34,2.49,8.53,36000,98.0,851.4,20,0,80,2,11.4,7.74,0.01,0.1,0.89,103,2014
VGB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,23098,153,151.0,52.29,10.01,18.05,16000,97.8,506.5,20,6.67,73.33,2,14.89,4.42,0.018,0.062,0.92,80,2014
CYM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,45436,262,173.4,61.07,18.75,8.19,35000,98.0,836.3,3.85,0,96.15,2,12.74,4.89,0.014,0.032,0.954,160,2014
COK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,21388,240,89.1,50.00,,,5000,95.0,289.9,17.39,13.04,69.57,2,21,,0.151,0.096,0.753,120,2014
FRO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,47246,1399,33.8,79.84,1.41,6.24,22000,,503.8,2.14,0,97.86,,14.05,8.7,0.27,0.11,0.62,1.117,2014
GUF,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,199509,91000,2.2,0.42,6.27,12.07,8300,83.0,255.6,0.14,0.05,99.81,2,20.46,4.88,0.066,0.156,0.778,?,?
PYF,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,274578,4167,65.9,60.60,2.94,8.44,17500,98.0,194.5,0.82,5.46,93.72,2,16.68,4.69,0.031,0.19,0.769,2.525,2014
GIB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,27928,7,3989.7,171.43,0,5.13,17500,,877.7,0,0,100,,10.74,9.31,,,,12,2014
GRL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NORTHERN AMERICA                   ,56361,2166086,0.0,2.04,-8.37,15.82,20000,,448.9,0,0,100,1,15.93,7.84,,,,44.087,2014
GLP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,452776,1780,254.4,17.19,-0.15,8.6,8000,90.0,463.8,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68,?,?
GUM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,171019,541,316.1,23.20,0,6.94,21000,99.0,492.0,9.09,16.36,74.55,2,18.79,4.48,,,,125.5,2014
GGY,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,65409,78,838.6,64.10,3.84,4.71,20000,,842.4,,,,3,8.81,10.01,0.03,0.1,0.87,50,2014
HKG,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906,733,2014
IMN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,75441,572,131.9,27.97,5.36,5.93,21000,,676.0,9,0,91,3,11.05,11.19,0.01,0.13,0.86,160,2014
JEY,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800,,811.3,0,0,100,3,9.3,9.28,0.05,0.02,0.93,70,2014
LIE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,33987,160,212.4,0.00,4.85,4.7,25000,100.0,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55,0,2014
MAC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400,94.5,384.9,0,0,100,2,8.48,4.47,0.001,0.072,0.927,41,2014
MHL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,60422,11854,5.1,3.12,-6.04,29.45,1600,93.7,91.2,16.67,38.89,44.44,2,33.05,4.78,0.317,0.149,0.534,370.4,2014
MTQ,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,436131,1100,396.5,31.82,-0.05,7.09,14400,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83,?,?
MYT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SUB-SAHARAN AFRICA                 ,201234,374,538.1,49.52,6.78,62.4,2600,,49.7,,,,2,40.95,7.7,,,,?,?
MCO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,32543,2,16271.5,205.00,7.75,5.43,27000,99.0,1035.6,0,0,100,,9.19,12.91,0.17,,,4.1,2014
MSR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,9439,102,92.5,39.22,0,7.35,3400,97.0,,20,0,80,2,17.59,7.1,,,,40,2014
NRU,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,13287,21,632.7,142.86,0,9.95,5000,,143.0,0,0,100,2,24.76,6.7,,,,30,2014
NCL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,219246,19060,11.5,11.83,0,7.72,15000,91.0,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762,2.254,2014
MNP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,82459,477,172.9,310.69,9.61,7.11,12500,97.0,254.7,13.04,4.35,82.61,2,19.43,2.29,,,,1.482,2014
PLW,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,20579,458,44.9,331.66,2.85,14.84,9000,92.0,325.6,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818,1.519,2014
REU,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,8.22,0,7.78,5800,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73,?,?
SHN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SUB-SAHARAN AFRICA                 ,7502,413,18.2,14.53,0,19,2500,97.0,293.3,12.9,0,87.1,,12.13,6.53,,,,?,?
SPM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NORTHERN AMERICA                   ,7026,242,29.0,49.59,-4.86,7.54,6900,99.0,683.2,13.04,0,86.96,,13.52,6.83,,,,120,2014
SMR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,WESTERN EUROPE                     ,29251,61,479.5,0.00,10.98,5.73,34600,96.0,704.3,16.67,0,83.33,,10.02,8.17,,,,0,2014
TWN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0,6.4,23400,96.1,591.0,24,1,75,2,12.56,6.48,0.018,0.259,0.723,1.566.3,2014
TCA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,21152,430,49.2,90.47,11.68,15.67,9600,98.0,269.5,2.33,0,97.67,2,21.84,4.21,,,,389,2014
VIR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,108605,1910,56.9,9.84,-8.94,8.03,17200,,652.8,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8,?,?
WLF,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,16025,274,58.5,47.08,,,3700,50.0,118.6,5,25,70,2,,,,,,129,2014
ESH,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NORTHERN AFRICA                    ,273008,266000,1.0,0.42,,,,,,0.02,0,99.98,1,,,,,0.4,1.110,2014
ATA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.968,2014
SJM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.587,2014
ATF,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.948.4,2014
FLK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.288,2014
IOT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,698,2014
CUW,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,364,2014
CXR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,138.9,2014
HMD,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,101.9,2014
TKL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,101,2014
NIU,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,2014
MAF,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58.9,2014
PCN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,51,2014
NFK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,2014
BVT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29.6,2014
CCK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26,2014
WAK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19.3,2014
VAT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2014
